address,decimals,symbol
0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,SEI
0xE30feDd158A2e3b13e9badaeABaFc5516e95e8C7,18,WSEI
0x5f0E07dFeE5832Faa00c63F2D33A0D79150E8598,6,SEIYAN
0x3894085Ef7Ff0f0aeDf52E2A2704928d1Ec074F1,6,USDC
0x5Cf6826140C1C56Ff49C808A1A75407Cd1DF9423,6,iSEI
0x17fe1101aF2dAB1aF0317d1ad1BD66cD06Da4B5c,18,SEIPEPE
0x86fFf10d3Cd57D0B1e2abB1C21a081c4649C9718,18,SEIMOON
0x47b676E7eBCE3b1961658334D4E09E23c87e787E,18,ROCKET
0xB75D0B03c06A926e488e2659DF1A861F860bD3d1,6,USDT
0xC18b6a15FB0ceaf5eb18696EeFCb5bc7b9107149,18,POPO
0x87a0D252332eC20b44256009f3Fc0E13f6bB5E74,6,TEST
0x263090D507377F47E944C4dA0d4Ed2EEbeCF59dd,18,SeilorV2
0x11131cCf0406AD0670F1E1eE37E85B66e8761757,18,Maga
0x5d942D4B8648D7B3B6E26b30145e70E64529F068,18,PHROG
0x0CfbB609AEfe80812DC503C1A4a1DC08098A2f25,18,STN
0x383375d7C53350ef61005aBE8E366Bc140aC18eC,18,BRETT
0x9F3b4b97BC64769f2A8c2E64859bd3dA4D099bbe,18,SORT
0xBd96bB78F134E84eB4E499d2E7d9B1c6fE2F9d9b,18,BALLZ
0x0a9D0E80B42801786e929e43f0811005F217fba3,9,SEITAMA
0x6617fa7fB37e2B069aAA4994a2976defBAf5Cfd1,18,DTIS
0x63eB2D32Ee3bc341508B521d5954C80Bb6deC392,18,SeiTrump
0x8c312c3a5a1963F14d450Eb12AcDCe1C3667Ac03,18,Sgoku
0x357e143A8eb46533671Cb44381b61E7043a44F82,18,X1
0x4ba642Fde42f3921E9b0A8a638525E24aBa5441e,18,X4
0x8F17828A754798F6435139c570039c9CfC9bAEC5,18,X3
0xbFa8F215A1bABD75BCd2cf475fd211690A1747Db,18,X2
0x3140E3ead4943A1e603CCaC577B50E9889AB27f3,18,SUPERSEIZ
0xdD1358dF189aF9605dd9978e1c89eE4ec5B4E6Fe,18,S8N
