cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
0xe13514AaCc27a3dFd2ae0db6aDA4eF7658c1E435,,2009446,uniswap_v3 0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8/0x420000000000000000000000000000000000000 3000,0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8/0x420000000000000000000000000000000000000,uniswap_v3,3000,0.003,0xe13514AaCc27a3dFd2ae0db6aDA4eF7658c1E435,,0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8,0x4200000000000000000000000000000000000006,18,18,4,BALD,WETH,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4C36388bE6F416A29C8d8Eee81C771cE6bE14B18,,2112314,uniswap_v3 0x4200000000000000000000000000000000000006/0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6C 500,0x4200000000000000000000000000000000000006/0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6C,uniswap_v3,500,0.0005,0x4C36388bE6F416A29C8d8Eee81C771cE6bE14B18,,0x4200000000000000000000000000000000000006,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,18,6,4,WETH,USDBC,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x10648BA41B8565907Cfa1496765fA4D95390aa0d,,2112431,uniswap_v3 0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22/0x420000000000000000000000000000000000000 500,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22/0x420000000000000000000000000000000000000,uniswap_v3,500,0.0005,0x10648BA41B8565907Cfa1496765fA4D95390aa0d,,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,0x4200000000000000000000000000000000000006,18,18,4,CBETH,WETH,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3DdF264AC95D19e81f8c25f4c300C4e59e424d43,,2161814,uniswap_v3 0x4200000000000000000000000000000000000006/0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6C 3000,0x4200000000000000000000000000000000000006/0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6C,uniswap_v3,3000,0.003,0x3DdF264AC95D19e81f8c25f4c300C4e59e424d43,,0x4200000000000000000000000000000000000006,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,18,6,4,WETH,USDBC,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x53Ba76436138c4344613294D06195908A33DCCA1,,2220026,uniswap_v3 0x4200000000000000000000000000000000000006/0xEB466342C4d449BC9f53A865D5Cb90586f40521 500,0x4200000000000000000000000000000000000006/0xEB466342C4d449BC9f53A865D5Cb90586f40521,uniswap_v3,500,0.0005,0x53Ba76436138c4344613294D06195908A33DCCA1,,0x4200000000000000000000000000000000000006,0xEB466342C4d449BC9f53A865D5Cb90586f405215,18,6,4,WETH,AXLUSDC,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9C625CB2aE462515FC614528F727d1A4D3BfBDe2,,2284119,uniswap_v3 0x4200000000000000000000000000000000000006/0xAB8a1c03b8E4e1D21c8Ddd6eDf9e07f26E84349 10000,0x4200000000000000000000000000000000000006/0xAB8a1c03b8E4e1D21c8Ddd6eDf9e07f26E84349,uniswap_v3,10000,0.01,0x9C625CB2aE462515FC614528F727d1A4D3BfBDe2,,0x4200000000000000000000000000000000000006,0xAB8a1c03b8E4e1D21c8Ddd6eDf9e07f26E843492,18,18,4,WETH,OGRE,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xE6E16fA8f4C2b9f56A3378b227bEdE63940a657C,,2315825,uniswap_v3 0x4200000000000000000000000000000000000006/0x8544FE9D190fD7EC52860abBf45088E81Ee24a8 10000,0x4200000000000000000000000000000000000006/0x8544FE9D190fD7EC52860abBf45088E81Ee24a8,uniswap_v3,10000,0.01,0xE6E16fA8f4C2b9f56A3378b227bEdE63940a657C,,0x4200000000000000000000000000000000000006,0x8544FE9D190fD7EC52860abBf45088E81Ee24a8c,18,18,4,WETH,TOSHI,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9E37cb775a047Ae99FC5A24dDED834127c4180cD,,2317551,uniswap_v3 0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8/0x420000000000000000000000000000000000000 10000,0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8/0x420000000000000000000000000000000000000,uniswap_v3,10000,0.01,0x9E37cb775a047Ae99FC5A24dDED834127c4180cD,,0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8,0x4200000000000000000000000000000000000006,18,18,4,BALD,WETH,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8081fF423681DE5E087B13D9c15701eCb3582C91,,2317776,uniswap_v3 0x4200000000000000000000000000000000000006/0xe1f9ac62a2f34881f6Fe0F84322dE9d7024C2b8 10000,0x4200000000000000000000000000000000000006/0xe1f9ac62a2f34881f6Fe0F84322dE9d7024C2b8,uniswap_v3,10000,0.01,0x8081fF423681DE5E087B13D9c15701eCb3582C91,,0x4200000000000000000000000000000000000006,0xe1f9ac62a2f34881f6Fe0F84322dE9d7024C2b8E,18,8,4,WETH,MOCHI,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe584Fe0C7505025c3819C82C99944b79a7cc009D,,2317824,uniswap_v3 0x4200000000000000000000000000000000000006/0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6C 10000,0x4200000000000000000000000000000000000006/0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6C,uniswap_v3,10000,0.01,0xe584Fe0C7505025c3819C82C99944b79a7cc009D,,0x4200000000000000000000000000000000000006,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,18,6,4,WETH,USDBC,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
